LABEL,PHY_REGION,LAT,LON
Nestle Ave Chrtr,N,34.1619228127525,-118.530062180686
Perez Spec Ed Ctr,E,34.0379588202729,-118.168104355004
Grand View Blvd,W,34.0021038835828,-118.430158131419
McBride Spec Ed Ctr,W,34.0015036934617,-118.43117378201
Charnock Rd,W,34.0180531165768,-118.420205040918
Hoover St,W,34.0565105382303,-118.28540491342
Ivanhoe,W,34.1086578056441,-118.266807546617
Logan Acad,E,34.0794955663329,-118.257580542276
Lockwood Ave,W,34.0891930863413,-118.288027190953
Dayton Heights,W,34.0825548908608,-118.288707702237
Elysian Heights Arts Mag,W,34.0885028335883,-118.249478173211
Pinewood Ave,N,34.253231811587,-118.285184147551
Sierra Park,E,34.0816188208346,-118.169196915442
Weigand Ave,S,33.9417014486054,-118.230181990361
Plasencia,E,34.0657522478694,-118.256121402142
Belvedere Middle,E,34.0393418357994,-118.181081205733
Belvedere,E,34.0350401417942,-118.186416771872
Marianna Ave,E,34.0356831015109,-118.175175444096
Lillian St,E,33.985921630256,-118.240511597196
Nightingale Middle,E,34.087716685298,-118.219110022059
University Chrtr High,W,34.0449343239842,-118.459370193318
Esperanza,E,34.0549929281919,-118.271849879093
Woodland Hills Acad,N,34.1705436177943,-118.586755018716
Tarzana,N,34.1759776934035,-118.545366662292
Portola Chrtr Middle,N,34.1661497110745,-118.542851607329
Wilbur Chrtr for Enriched Acad,N,34.1646445198109,-118.544793310323
Emelita St,N,34.1770317674515,-118.524179044347
Middleton St,E,33.9803922810596,-118.228391592138
Florence Ave,E,33.9738239441915,-118.23880394585
Dena,E,34.0218438065688,-118.210552758248
El Sereno Middle,E,34.0796107333246,-118.179646213085
Palisades Chrtr High,W,34.0469129287866,-118.531476606841
Downtown Bus Mag High,E,34.0608057318516,-118.254549052996
Fairburn Ave,W,34.0588181632804,-118.431569181521
Emerson Comm Chrtr Middle,W,34.0539528635802,-118.435659341099
Overland Ave,W,34.0380889380875,-118.420717955712
Canfield Ave,W,34.0506561911824,-118.390349930281
Hamilton High,W,34.0341368994904,-118.391659944687
Shenandoah St,W,34.038552727382,-118.384231505512
54th St,W,33.9920096728947,-118.343436905922
Mann UCLA Comm School,S,33.9765901374886,-118.31222134952
East Los Angeles Skills Ctr,E,34.0687167304677,-118.198023550358
Nueva Vista,E,33.9804822156285,-118.188769448867
Amestoy,S,33.8956606589156,-118.29319602552
Crescent Heights Mag,W,34.0473505691415,-118.374469563513
Los Angeles Ctr for Enriched Studies,W,34.044422237831,-118.371230693652
Saturn St,W,34.0462418762062,-118.356526230461
Carthay ES of Env Studies Mag,W,34.0595455510652,-118.369131473315
Hancock Park,W,34.0695123247966,-118.360211523947
Wilshire Crest,W,34.0580308820798,-118.343760285597
Burroughs Middle,W,34.0635749503099,-118.336137684844
Encino Chrtr,N,34.1623582642638,-118.502107567662
Kester Ave,N,34.167663394287,-118.4583499531
Elizabeth Lrng Ctr,E,33.9640912198657,-118.184026436754
Watts Lrng Ctr,S,33.9499854797472,-118.278803796887
BTB Stu Aux Svc Sec,E,34.0515783296546,-118.233778383144
Los Angeles High,W,34.0551570043949,-118.332903759011
Wilson High,E,34.0687902054101,-118.186831693678
East Los Angeles Occup Ctr,E,34.0552548258623,-118.205155408292
Bridge St,E,34.0528451624352,-118.216981692408
Lanai Rd,N,34.1490715127169,-118.493138038143
Chandler,N,34.1657744741857,-118.438555308987
Grant High,N,34.177507539896,-118.4163912387
Burbank Blvd,N,34.171284465865,-118.399322120102
Riordan PC,E,34.1113191441177,-118.196427280267
Marshall High,W,34.1089740641798,-118.277052375875
MacArthur Park School Visual and Perf Arts,E,34.0572051701342,-118.279692628957
Parks/Huerta EEC,S,33.9880589428415,-118.292125805957
Peary Middle,S,33.8828835822025,-118.301307994596
122nd St,S,33.921928696819,-118.267998041535
Meyler St,S,33.8253646927681,-118.295902226105
Wilmington Middle STEAM,S,33.7976210537745,-118.272832289716
Broad Ave,S,33.8015055776435,-118.262776266909
Reed Middle,N,34.1526123924945,-118.386642997101
